meanRMSE,sdRMSE,methods,year,beach,maxBS
2.02570959032203,0.638899467352849,LM full,2015,2,3
1.76902392408604,0.754329166961413,KNN AggOut,2015,2,3
1.48880961597881,0.590511337528969,KNN full,2015,2,3
1.72326814936168,0.735522069803005,SVR AggOut,2015,2,3
1.53824219256596,0.631480636726158,SVR full,2015,2,3
1.51791505236177,0.393524387981825,LM AggOut,2015,3,3
1.56816917760949,0.365688587947143,LM full,2015,3,3
1.57005698558911,0.421278672876289,KNN AggOut,2015,3,3
1.44011133317837,0.370768841231149,KNN full,2015,3,3
1.3929763070484,0.394585394540466,SVR AggOut,2015,3,3
1.33949563615633,0.368269024386257,SVR full,2015,3,3
0.712856346162128,0.26473569220025,LM AggOut,2015,4,3
1.50760420754353,0.620252327067963,LM full,2015,4,3
0.72415177075204,0.217347405225011,KNN AggOut,2015,4,3
0.527437363856549,0.287281451180771,KNN full,2015,4,3
0.656821233956035,0.293968740200738,SVR AggOut,2015,4,3
0.568068264619896,0.317033473925846,SVR full,2015,4,3
0.941467522749578,0.22082753237025,LM AggOut,2015,5,3
0.883223122963386,0.181308368497184,LM full,2015,5,3
1.0897762984974,0.196774830427859,KNN AggOut,2015,5,3
0.900119737383065,0.197098542737833,KNN full,2015,5,3
0.911555182809173,0.252666068473454,SVR AggOut,2015,5,3
0.842045367054341,0.2084938905817,SVR full,2015,5,3
1.56607479507411,0.401757316003689,LM AggOut,2015,6,3
1.53787767950924,0.307376715610363,LM full,2015,6,3
1.63818689692316,0.394759626064366,KNN AggOut,2015,6,3
1.53981027299593,0.321248125749102,KNN full,2015,6,3
1.55705739665191,0.449173816386654,SVR AggOut,2015,6,3
1.3248448104457,0.408379017454222,SVR full,2015,6,3
2.25592906367583,0.310962114492376,LM AggOut,2015,7,3
2.24497562147863,0.289348806704752,LM full,2015,7,3
2.32931964815953,0.291812700688776,KNN AggOut,2015,7,3
2.27543702590348,0.268629293639485,KNN full,2015,7,3
2.27469339564068,0.383327180746678,SVR AggOut,2015,7,3
2.15981890053687,0.339174489188028,SVR full,2015,7,3
